epoch,step,train/loss_step
0,4,2728.74072265625
0,9,26.41952133178711
0,14,44.16557693481445
0,19,579.6287841796875
0,24,711.4243774414062
0,29,6220.8046875
0,34,778.7503051757812
0,39,734.1213989257812
0,44,1480.8275146484375
0,49,4857.75732421875
0,54,2492.224609375
0,59,6577.5703125
0,64,675.7312622070312
0,69,6551.59765625
0,74,4166.67138671875
0,79,8224.1787109375
0,84,6815.5234375
0,89,1138.3201904296875
0,94,548.10693359375
0,99,2710.080322265625
0,104,518.516845703125
0,109,1934.6820068359375
